show_id,type,title,director,cast,country,year_added,release_year,rating,duration,category
70095135,Movie,Knowing,"Alex Proyas","Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson, D.G. Maloney, Nadia Townsend, Alan Hopgood, Adrienne Pickering","United States, United Kingdom, Australia",2019,2009,PG-13,"121 min","Sci-Fi & Fantasy, Thrillers"
81191254,Movie,Limitless,"Vrinda Samartha",,India,2019,2017,TV-PG,"59 min","Documentaries, International Movies, Sports Movies"
81179400,Movie,"Little Baby Bum: Go Buster",,,,2019,2019,TV-Y,"58 min","Children & Family Movies"
81168340,Movie,Medium,"Jacek Koprowicz","Władysław Kowalski, Michał Bajor, Jerzy Zelnik, Jerzy Stuhr, Grażyna Szapołowska, Jerzy Nowak, Ewa Dałkowska, Piotr Machalica, Zygmunt Zintel, Henryk Bista","Poland, West Germany",2019,1985,TV-MA,"90 min","Horror Movies, International Movies, Thrillers"
60023597,Movie,"Men in Black II","Barry Sonnenfeld","Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle, Johnny Knoxville, Rosario Dawson, Tony Shalhoub, Patrick Warburton, Jack Kehler, David Cross","United States",2019,2002,PG-13,"88 min","Action & Adventure, Comedies, Sci-Fi & Fantasy"
81036448,"TV Show","Miniforce X",,,"South Korea",2019,2018,TV-Y7-FV,"1 Season","Kids' TV, Korean TV Shows"
81002876,Movie,"Nikki Glaser: Bangin’","Nicholaus Goossen","Nikki Glaser","United States",2019,2019,TV-MA,"64 min","Stand-Up Comedy"
70058017,Movie,"No Reservations","Scott Hicks","Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin, Patricia Clarkson, Jenny Wade, Bob Balaban, Brían F. O'Byrne, Lily Rabe","United States",2019,2007,PG,"104 min","Comedies, Romantic Movies"
70058024,Movie,"Ocean's Thirteen","Steven Soderbergh","George Clooney, Brad Pitt, Matt Damon, Andy Garcia, Don Cheadle, Bernie Mac, Ellen Barkin, Al Pacino, Casey Affleck, Scott Caan","United States",2019,2007,PG-13,"122 min","Action & Adventure, Comedies"
70011211,Movie,"Ocean's Twelve","Steven Soderbergh","George Clooney, Brad Pitt, Matt Damon, Catherine Zeta-Jones, Andy Garcia, Don Cheadle, Bernie Mac, Julia Roberts, Casey Affleck, Scott Caan","United States",2019,2004,PG-13,"125 min","Action & Adventure, Comedies"
